입찰명,카테고리
오늘의해병대 코너 제작/설치,미분류
야채참치통조림 등 3종 구매,미분류
빔프로젝터 구매,미분류
생도견장(남/1학년) 등 26종 제조(구매),미분류
"센서,촉각반응용 등 5종",미분류
어린이집 교구교재(놀이방 매트 등 172종) 구매,미분류
"어린이집 교재교구 구매(공용,3,4세용/195종)",미분류
16년도 4분기 도서(국내서) 구매,10종
아파트 홈오토 설치,미분류
패킹재료 등 2항목 제조(궤도),미분류
의약품(243차) 구매,8종
의약품(239차) 구매,8종
00부대 심정모터펌프 교체 자재구매,미분류
아파트 태양광 발전장치 제조설치,미분류
어린이집 도서(241종) 구매,10종
통신센터 관급자재-전열교환기 제조.구매 (설치포함),미분류
7162부대 동 케이블 자재구매,4종
00부대 간부숙소 합성수지제창 제조설치,미분류
수도병원 의무비품(3차) 6종 구매,미분류
FRP 소화기함 제조(2),2종
17년 공군 기록관리시스템 유지보수 용역,미분류
차기다련장 2차사업 조명기구 제조,4종
16년 원격정비지원체계 구축사업 등 4건 리스,미분류
00부대 관사 신축사업 통합배선반 제조설치,미분류
00부대 관사 신축사업 합성수지제창호 제조,4종
17년 통합보안관제체계 유지보수 용역,미분류
인쇄재료 23종 구매,미분류
항공전력 도입을 고려한 효율적 운용방안 연구용역,미분류
17년 차량정비용 수리부속(타이어/밧데리) 구매,9종
17년 차량정비용 수리부속(버스/트럭) 구매,9종
17년 차량정비용 수리부속(승용차)(현대)구매,9종
`16년 정보자원 증설사업(구매),미분류
00지역 성재산 모노레일 보수 설치납품,4종
00지역(연천) 송풍기 구매,미분류
창고 중량물 저장대 제조 설치납품,미분류
지뢰방호차량 소모품 구매,5종
16-10차 전산운영용품 구매,2종
방사선 측정기 등 0종 구매,7종
00대대 노후감시장비 교체 설치납품,7종
화장대 등 5품목 구매,미분류
어린이집 교재교구 구매(0~2세용/189종),미분류
공병장비 크라샤 구매,미분류
TMO이동도서관 도서 구매,10종
코팅기 등 33종,미분류
작업용 장갑 등 8 종,미분류
당구대 4EA,미분류
멀티크리너 등 47종,미분류
항-16-077 생화학분석기 기약 등 31종,미분류
OO부대 인조잔디 설치 납품,미분류
총기이동식 거치대 32EA,미분류
4/4분기 도서 구매,10종
00부대 동원훈련장 온수보일러 제조설치 납품,미분류
00부대 동원훈련장 온수저장탱크 제조설치납품,미분류
00부대 녹음용 전화기 구매,2종
의무장비 운영소모품 32종 구매(16-32차),8종
문서보존상자 등 77종,미분류
의약품 및 임상병리 시약구매(11월),8종
복사용지 등 78종,미분류
양면 풀테이프 등 55종,미분류
아파트 디자인울타리 제조설치,미분류
중형굴삭기 반자동 크러셔 설치납품,미분류
시그마 매트 등 18종,미분류
00부대 울타리 철조망 자재납품,4종
엔진 양수기 등 2종,9종
17-OO지역 감시장비(CCTV)시스템 유지보수용역,미분류
"센서,촉각반응용 등 5종",미분류
핸드파렛트 트럭 등 3종,미분류
면장갑 등 5종,미분류
배터리 등 6종 구매,9종
전기연장선 등 60종 구매,미분류
'16년 00망 정보보호체계 구매 설치,미분류
COM시스템 유지보수 용역,미분류
사열대 등 6종 구매 제조,미분류
일반의약품 105종 구매,8종
매립콘센트 등 63종 구매,미분류
재경학습관 전자제품 구매설치,미분류
광망 제설용 송풍기 구매,미분류
접적대대 지휘통제실 화면전시체계 보강사업,미분류
어린이집 전자제품 구매(청소기 등 33종),미분류
OO부대 GOP 난방시설 설치납품 등 6건,4종
00부대 보온대 구매,미분류
00부대 동계 물품 구매,미분류
16-9차 전산운영용품 구매,2종
정보체계용품 SSD 구매,미분류
전산운영용품 구매,2종
(16-189) ㄱ앵글 등 24품목,미분류
제설용 송풍기 구매,미분류
00지역(연천) 롤테이너 등 5종 구매,미분류
17년 영업배상보험 및 캐디근재보험,미분류
(16-183) 노면표지용도로 등 15품목,미분류
시설자재(럭비장 차양대 등 8건) 구매,4종
반조봉 등 5종 구매,미분류
고속고무보트 7인승 제조,미분류
"리드선 조립체, 전기용 100EA 구매",미분류
상패보관함 2EA 구매,미분류
문서보존상자 등 98종,미분류
복사용지 등 111종,미분류
복사용지 등 11종 구매,미분류
칸막이 진열장 등 2종 제작 납품,미분류
일반의약품 141종 구매,8종
기지방송망 장비 외주정비,미분류
3KW 발전기 등 3품목 구매(16-283호),미분류
영내 설치용 태양광가로등 구매,미분류
ATCIS 전산용품 구매(244개),2종
철판 등 9종,미분류
벙커레이크 등 6종,미분류
차양망 등 12종,미분류
UTP케이블 등 13종 구매,4종
적외선 IP카메라 등 4종,미분류
LCD전용카피홀더 등 75품목(16-376호),미분류
축전지등 25품목(16-300호),2종
제설용 송풍기 구매,미분류
GPS 전파교란 탐지시스템 보안장치 구매사업,미분류
NVR(16CH) 등 6품목(16-364호),미분류
복사용지 84품목(16-388),미분류
황봉투 등 32품목(16-394호),미분류
복사용지 등 48품목(16-373호),미분류
파렛트 구매,미분류
어린이집 주방용품 구매(수저통 등 88종),미분류
장식장 등 2종 구매,미분류
밥솥 등 2종 구매,미분류
기록물분쇄압축기 유지보수 용역,미분류
합판 등 군수비품 5종 구매,4종
화이트보드 등 154종,미분류
바운더리 마이크 등 39품목 구매,미분류
복사용지 등 141품목 구매,미분류
16-4차 전산운영용품 구매,2종
산업용UPS배터리 등 84품목(16-360호),9종
스테플러 등 112품목 (16-282호),미분류
국내 도서 구매(7차),10종
DC11C6550/Toner Black 등 11품목 구매(16-357호),미분류
도서(나를 바꾸는 심리학의 지혜 등 28품목)(16-293),10종
PLOTTER Paper 등 8종(16-358호),미분류
SFTP 케이블 구매(16-387호),4종
UTP 케이블 구매(16-383호),4종
전자레인지 등 5품목(16-375호),미분류
동케이블 등 3종 구매계약,4종
재투자 정보통신운영용품 구매(16종),미분류
넥게이터 등 5종,미분류
근속 30주년 기념휘장 등 5종 제조,미분류
재단기 등 2종,미분류
전기온수기,미분류
"조달-방-16-67,70 컨테이너",2종
항공과학고교 학생용 침구류 6품목 구매,2종
SSD장비 구매,미분류
통합작전 통신센터 관급자재-통합배선 제조 설치,미분류
통합작전 통신센터 관급자재-AV설비 제조 설치,미분류
정보체계운영용품 2차 구매,미분류
통합배선반 제조 설치,미분류
가구류(침대 등 30종) 제조,2종
비디오월(DID) 구축사업,미분류
통신센터 관급자재-냉난방기 제조/구매(설치포함),미분류
통신센터 관급자재-태양광발전장치 제조 설치,미분류
연료탱크샌더 등 185종,3종
더블에이 복사지등 46품목(근-16-188),미분류
손수레 차체 등 2종 구매,미분류
00부대 난방보일러 설치납품,미분류
반코팅 장갑 구매,미분류
제설용 송풍기 구매,미분류
형광등 등 57종,미분류
전동꺼꾸리,미분류
거점 유선시설 보강을 위한 동케이블 구매,4종
볼펜심 등 54종,미분류
멀티텝 등 85종,미분류
무선마우스 등 47종,미분류
해병1사단 포병 전지훈련 장비 육로용역수송,미분류
"도서 ""제3인류"" 등 276종",10종
전기튀김기 등 6종 구매,미분류
제본용 스테플 등 109종,미분류
클립온 멀티펜 등 56종,미분류
신병노트 등 3품목 구매,미분류
방향전환밸브 등 8종,4종
타이어 등 70종 구매,9종
"바,금속제 등 15종",미분류
방향전환밸브 등 8종,4종
스텐파이프 등 14종,4종
오일 씰 인넷 등 279종,미분류
전력지원체계OMS/MP및RAM분석/LSA적용방안연구,10종
00학교 생도피복(운동화류) 구매,2종
"46,영산강소초 GOP 병영생활관",미분류
무기체계 내장형SW 관리장비 구매,미분류
청소기 등 00 종 구매,미분류
조달(수리)요구서(16-871)[정통]광 점퍼코드 등 48종,미분류
16-동-감시카메라(CCTV) 제조 설치,7종
물류창고 저장랙 제조설치,미분류
전동지게차(5대) 구매,미분류
00부대 이글루 탄약고 제습기 제조설치(4),미분류
인쇄용지(모조지백색)구매,미분류
충전 함마드릴 등 4종,미분류
17년 국외항공특송 용역,미분류
사령부 종교시설 브리핑장비 구매,미분류
'17년 국방컨벤션 소모품 구매(연간 단가계약),미분류
'17년 세탁용역(연간 단가계약),미분류
'17년 대기배출시설 소모품 구매(연간 단가계약),4종
성당 신축 AV방송설비 제조설치,미분류
16년 취사식당 냉난방기 설치납품,미분류
00소초 풋살경기장 인조잔디 제조설치납품,미분류
131사업(2차) 소방감리 용역,미분류
131사업(2차) 석면해체 감리 용역,미분류
69톤 트렉타 구매,미분류
시멘트 등 3종,4종
VGA Extender 등 64종,미분류
가스버너 등 24종 구매,3종
TV 등 51종 구매,미분류
해안소초 독서카페 내부구성품 구매,미분류
신교대대 방송통신장비 설치납품,미분류
00병원 의무비품(옷장 등 9종) 제조,미분류
횡성역 유류공급시설 수배전반 제조 설치,미분류
횡성역 유류공급시설 CCTV 카메라 제조 설치,7종
횡성역 유류공급시설 물탱크 제조 설치,미분류
17년 전산장비 통합유지보수 용역,미분류
16년 ICT기반 교실 구축사업 리스,미분류
수첩케이스 제작/구매,미분류
냉장고 등 9종,미분류
신호탄화약 2박스 등 12종,5종
2016년 병리재료 42종 구매,미분류
2016년 치과재료 54종 구매,미분류
2016년 내향성발톱 교정재료 구매,미분류
2016년 의료재료 88종 구매,미분류
「17년 대한민국 국군 공익광고」 제작 용역,미분류
미확인 지뢰지대 통제용 안내간판 및 지뢰표지판 구매,5종
7162부대 전술도로 가림막 자재구매,미분류
로타리 스위치 등 27종,미분류
열선 등 33종 구매,미분류
코팅기 등 2종 구매,미분류
EPSON 카트리지 등 38종,미분류
흡착포 등 10종,미분류
싱크대 제조 설치,미분류
"박판,금속제 등 15종",미분류
면장갑 등 39종,미분류
디지털 인쇄재료 15종,미분류
식자재 000종 구매(단가계약),미분류
영내 주요케이블 보강공사 자재구매,4종
이동형 음원장비 소모품 5종 구매,미분류
어린이집 도서 구매(유아도서 711종),10종
"클락 스프링 등 27항목 구매(해파, 기장)",미분류
16-8차 정보체계예산 구매,미분류
토너 및 전산운영용품 구입,2종
16-14차 부대조달(상병건강검진시약) 구매,미분류
장관조립교 수리부속 구매(2016-2023),9종
'17년 승강기 관리 용역,미분류
"16-24차 의료기재, 일반의무장비 운영소모품 부대구매",8종
'17년 음식물폐기물 처리 용역,미분류
장비운영소모품(96차) 구매,미분류
차세대 학습관리 시스템 도입사업 리스,미분류
00지역 감시용 CCTV제조설치,7종
00학교이전 비품 구매설치,미분류
샤워기호스 등 837종,미분류
안전화 등 132종,미분류
의료용 냉장고(응급 콜 시스템 구성품) 구매,미분류
17년 사업장(생활쓰레기)일반폐기물 처리 용역,미분류
17년 청소 및 위생용품 구매,미분류
파병물자(상용무전기 등 00종) 구매,2종
파병부대 운동화 구매,미분류
방한장갑 구매,미분류
UV프린터 등 7종 구매,2종
포토용지 등 72종 구매,미분류
원형 접착 보드롱 등 58종,미분류
제트스트림 볼펜 등 126종,미분류
중형굴삭기 부수기재(고정식크라샤) 구매,미분류
전산운영용품(랜선) 구매(16-통신-13),2종
리무버 등 219종,미분류
의료기재 등 26종,미분류
등기구 등 13종 구매,미분류
훈련장 피해복구 물품 16종 구매,미분류
차광막 등 99종 구매,미분류
정수위밸브 등 17종 구매,4종
믹서기 등 9종 구매,미분류
청소기 등 6종 구매,미분류
16-292 콤보벤치 등 21종,미분류
족구화 등 14항목 구매(물자),미분류
미확인 지뢰지대 통제간판 제조·설치 납품,5종
"위임150,169차 자재납품",미분류
탄약고 화재 기호판 구매,미분류
00대대 지휘통제실 화면전시체계 보강 설치납품,미분류
노트북용 SSD 등 15종 구매,2종
방탄복 구매,미분류
강선용 압착뺀치 등 59종,미분류
16년 후반기 전산용품 구매,2종
비디오 코덱 등 34종 구매,미분류
